add-none-m, 1, 1000, 6340785, 6340
add-none-s, 1, 1000, 9834832, 9834
add-none-m, 2, 1000, 9431701, 4715
add-none-s, 2, 1000, 10080089, 5040
add-none-m, 4, 1000, 17407768, 4351
add-none-s, 4, 1000, 38482153, 9620
add-none-m, 8, 1000, 69332556, 8666
add-none-s, 8, 1000, 66709102, 8338
add-none-m, 16, 1000, 266735113, 16670
add-none-s, 16, 1000, 258729470, 16170
add-none-m, 24, 1000, 427514848, 17813
add-none-s, 24, 1000, 503422785, 20975
add-none-m, 32, 1000, 679044886, 21220
add-none-s, 32, 1000, 711548941, 22235
add-none-m, 48, 1000, 1653397107, 34445
add-none-s, 48, 1000, 1909325656, 39777
