list-none-s,1,1000,1,3000,4876807,4876,221957
list-none-s,4,1000,1,12000,21895592,5473,9634638
list-none-s,8,1000,1,24000,156278798,19534,591601732
list-none-s,16,1000,1,48000,374169287,23385,3409392901
list-none-s,32,1000,1,96000,1397700070,43678,28103653841
list-none-s,48,1000,1,144000,4570299767,95214,136806067800
list-none-s,1,1000,4,3000,1276343,1276,223079
list-none-s,4,1000,4,12000,11604550,2901,3956801
list-none-s,8,1000,4,24000,51743237,6467,74588314
list-none-s,16,1000,4,48000,860803913,53800,10073078840
list-none-s,32,1000,4,96000,2172270467,67883,44312938245
list-none-s,48,1000,4,144000,2268186012,47253,64773360512
list-none-s,1,1000,8,3000,4531625,4531,228580
list-none-s,4,1000,8,12000,5428123,1357,863749
list-none-s,8,1000,8,24000,18025287,2253,15985549
list-none-s,16,1000,8,48000,84616455,5288,321243298
list-none-s,32,1000,8,96000,629110797,19659,11027944022
list-none-s,48,1000,8,144000,507163504,10565,12091137389
list-none-s,1,1000,16,3000,5350669,5350,229046
list-none-s,4,1000,16,12000,7127292,1781,927272
list-none-s,8,1000,16,24000,16696425,2087,5726957
list-none-s,16,1000,16,48000,35916363,2244,92153782
list-none-s,32,1000,16,96000,218200838,6818,4323935814
list-none-s,48,1000,16,144000,861668581,17951,25298519332
